zip,lat,lng,city,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all
92506,33.93478,-117.36689,Riverside,44311,1055.5,6065,Riverside,"{""06065"": 100}",Riverside,6065
92507,33.97464,-117.32234,Riverside,61920,1116.6,6065,Riverside,"{""06065"": 99.75, ""06071"": 0.25}",Riverside|San Bernardino,06065|06071
92508,33.89039,-117.3282,Riverside,36777,1292.2,6065,Riverside,"{""06065"": 100}",Riverside,6065
92509,34.00293,-117.44547,Jurupa Valley,80149,1007.4,6065,Riverside,"{""06065"": 99.37, ""06071"": 0.63}",Riverside|San Bernardino,06065|06071
92518,33.89602,-117.27705,March Air Reserve Base,1236,60.8,6065,Riverside,"{""06065"": 100}",Riverside,6065
92521,33.96794,-117.32731,Riverside,0,0,6065,Riverside,"{""06065"": 100}",Riverside,6065
92530,33.63386,-117.37949,Lake Elsinore,60877,304.9,6065,Riverside,"{""06065"": 94.77, ""06059"": 5.23}",Riverside|Orange,06065|06059
92532,33.69052,-117.30241,Lake Elsinore,27268,690.7,6065,Riverside,"{""06065"": 100}",Riverside,6065
92536,33.48791,-116.81528,Aguanga,2749,9.9,6065,Riverside,"{""06065"": 100}",Riverside,6065
92539,33.51579,-116.64432,Anza,3480,10.3,6065,Riverside,"{""06065"": 100}",Riverside,6065
92543,33.69867,-116.97916,Hemet,39878,804.3,6065,Riverside,"{""06065"": 100}",Riverside,6065
92544,33.64581,-116.86033,Hemet,51694,116.9,6065,Riverside,"{""06065"": 100}",Riverside,6065
92545,33.7311,-117.0359,Hemet,45771,594.3,6065,Riverside,"{""06065"": 100}",Riverside,6065
92548,33.76392,-117.10907,Homeland,6435,189.9,6065,Riverside,"{""06065"": 100}",Riverside,6065
